month,day_type,hour,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,action
7.0,7.0,24.0,20.0,18.3,22.8,20.0,84.0,81.0,68.0,81.0,0.0,25.0,964.0,0.0,0.0,100.0,815.0,0.0,0.1707244126403808,0.3822333333333333,0.0,0.0,0.3822333333333333,0.22,0.22,0.22,0.22,0.5366479158401489
8.0,1.0,1.0,20.1,19.4,22.8,19.4,79.0,79.0,71.0,87.0,0.0,201.0,966.0,0.0,0.0,444.0,747.0,0.0,0.1573190581037597,0.3328666666666666,0.0,0.5084605569909467,3.7674133280436197,0.22,0.22,0.22,0.22,-0.358236163854599
8.0,1.0,2.0,19.7,21.1,22.2,19.4,78.0,73.0,73.0,87.0,0.0,420.0,683.0,0.0,0.0,592.0,291.0,0.0,0.1545025601953125,0.7353,0.0,0.12165808367266877,-1.5574052967753311,0.22,0.22,0.22,0.22,-0.32025331258773804
8.0,1.0,3.0,19.3,22.2,22.8,19.4,78.0,71.0,71.0,90.0,0.0,554.0,522.0,0.0,0.0,491.0,153.0,0.0,0.1509448778981933,2.2219666666666678,0.0,0.0,1.5044446180630726,0.22,0.22,0.22,0.22,0.4101463556289673
8.0,1.0,4.0,18.9,21.7,22.2,18.9,78.0,73.0,71.0,90.0,0.0,778.0,444.0,0.0,0.0,734.0,174.0,0.0,0.1518198641750488,0.8956499999999984,0.0,0.38241909979073285,3.520573459503331,0.22,0.22,0.54,0.22,0.38990518450737
8.0,1.0,5.0,18.3,22.2,21.1,18.3,81.0,71.0,76.0,93.0,0.0,903.0,392.0,0.0,0.0,811.0,396.0,0.0,0.1580882182441406,0.3305833333333334,0.0,0.7450153849035781,2.825958832526164,0.22,0.22,0.54,0.22,0.30730631947517395
8.0,1.0,6.0,18.3,22.8,20.6,18.9,81.0,68.0,78.0,90.0,25.0,964.0,231.0,15.0,100.0,815.0,320.0,14.0,0.1619393621623535,0.4994499999999999,0.0,0.9999909647552924,2.2732602349218527,0.22,0.22,0.54,0.22,-0.13653387129306793
8.0,1.0,7.0,19.4,22.8,20.6,20.0,79.0,71.0,73.0,87.0,201.0,966.0,27.0,116.0,444.0,747.0,143.0,42.0,0.164345968935791,3.2309,0.027549999952316283,0.8501271330494103,2.3295423298572855,0.22,0.22,0.54,0.22,0.21927613019943237
8.0,1.0,8.0,21.1,22.2,20.0,20.0,73.0,73.0,76.0,87.0,420.0,683.0,0.0,252.0,592.0,291.0,0.0,74.0,0.1909981533635253,0.1698666737874349,0.17700000031789145,0.9999888962841688,1.045632468171204,0.22,0.22,0.54,0.22,-0.0922815129160881
8.0,1.0,9.0,22.2,22.8,20.6,20.0,71.0,71.0,70.0,84.0,554.0,522.0,0.0,292.0,491.0,153.0,0.0,35.0,0.202898866493164,0.0018667536417643,0.40618333562215175,0.8986979845544346,-0.994911221010603,0.22,0.22,0.22,0.22,-0.536124050617218
8.0,1.0,10.0,21.7,22.2,20.6,21.7,73.0,71.0,73.0,76.0,778.0,444.0,0.0,436.0,734.0,174.0,0.0,95.0,0.212871689040039,1.2207031250000006e-07,0.6587833366394042,0.3956790761914179,-3.6846091599174082,0.22,0.54,0.22,0.22,0.1235213428735733
8.0,1.0,11.0,22.2,21.1,19.4,21.7,71.0,76.0,81.0,73.0,903.0,392.0,0.0,604.0,811.0,396.0,0.0,209.0,0.2257099151513672,1.2207031250000006e-07,0.881916669209798,0.5082107151351647,-0.09139161439789267,0.22,0.54,0.22,0.22,-0.5569421052932739
8.0,1.0,12.0,22.8,20.6,20.0,22.2,68.0,78.0,81.0,71.0,964.0,231.0,0.0,589.0,815.0,320.0,0.0,144.0,0.2346078929833984,0.5843167602539062,1.0416833330790203,0.0,-3.543005083794959,0.22,0.54,0.22,0.22,-0.16660574078559875
8.0,1.0,13.0,22.8,20.6,19.4,21.0,71.0,73.0,87.0,78.0,966.0,27.0,0.0,554.0,747.0,143.0,0.0,133.0,0.2428606982099609,2.56205,1.1270499979654947,0.0,1.4350000020345055,0.22,0.54,0.22,0.22,0.6146429777145386
8.0,1.0,14.0,22.2,20.0,19.4,21.0,73.0,76.0,87.0,78.0,683.0,0.0,0.0,907.0,291.0,0.0,0.0,685.0,0.242239251699707,0.7241834208170582,1.1394333330790203,0.5830911597580286,3.5183952042062736,0.22,0.54,0.22,0.22,0.6386520862579346
8.0,1.0,15.0,22.8,20.6,19.4,22.8,71.0,70.0,90.0,68.0,522.0,0.0,0.0,789.0,153.0,0.0,0.0,777.0,0.242680302368164,0.9743334106445314,1.0854333305358885,0.9999791469246511,2.7081506860422278,0.22,0.22,0.22,0.22,-0.42141854763031006
8.0,1.0,16.0,22.2,20.6,18.9,22.8,71.0,73.0,90.0,67.0,444.0,0.0,0.0,631.0,174.0,0.0,0.0,703.0,0.2452496696010742,0.8450334167480479,0.9324333279927572,0.8284724906907599,-1.0873999112447092,0.54,0.22,0.22,0.54,0.08381763100624084
8.0,1.0,17.0,21.1,19.4,18.3,22.2,76.0,81.0,93.0,68.0,392.0,0.0,0.0,443.0,396.0,0.0,0.0,585.0,0.2461469423500976,0.2555501098632815,0.6967000007629395,0.9048321664715727,0.0952701606288926,0.54,0.22,0.22,0.54,-0.11895935982465744
8.0,1.0,18.0,20.6,20.0,18.9,23.3,78.0,81.0,90.0,79.0,231.0,0.0,15.0,245.0,320.0,0.0,14.0,337.0,0.2427593985805664,0.6405000300089518,0.38393333371480304,0.7742604726976104,-0.5047547395100451,0.54,0.22,0.22,0.54,0.339489609003067
8.0,1.0,19.0,20.6,19.4,20.0,22.8,73.0,87.0,87.0,68.0,27.0,0.0,116.0,27.0,143.0,0.0,42.0,147.0,0.2415094735551758,2.094933333333333,0.04363333320617676,0.9999751491862177,3.614904354527901,0.54,0.22,0.22,0.54,0.3195268511772156
